latitude_number,reduced_points,regular_points,latitude
1,18,2048,89.865509
2,25,2048,89.691286
3,32,2048,89.516035
4,40,2048,89.340551
5,45,2048,89.164979
6,50,2048,88.989365
7,60,2048,88.813726
8,60,2048,88.638073
9,72,2048,88.462411
10,72,2048,88.286741
11,75,2048,88.111067
12,81,2048,87.935389
13,90,2048,87.759709
14,96,2048,87.584026
15,96,2048,87.408341
16,100,2048,87.232655
17,108,2048,87.056968
18,120,2048,86.881280
19,125,2048,86.705592
20,128,2048,86.529902
21,135,2048,86.354212
22,144,2048,86.178522
23,150,2048,86.002831
24,160,2048,85.827139
25,160,2048,85.651448
26,180,2048,85.475756
27,180,2048,85.300063
28,180,2048,85.124371
29,192,2048,84.948678
30,192,2048,84.772985
31,200,2048,84.597292
32,216,2048,84.421599
33,216,2048,84.245906
34,225,2048,84.070212
35,225,2048,83.894519
36,240,2048,83.718825
37,240,2048,83.543132
38,243,2048,83.367438
39,250,2048,83.191744
40,256,2048,83.016050
41,270,2048,82.840356
42,270,2048,82.664661
43,288,2048,82.488967
44,288,2048,82.313273
45,288,2048,82.137579
46,300,2048,81.961884
47,320,2048,81.786190
48,320,2048,81.610495
49,320,2048,81.434801
50,320,2048,81.259106
51,360,2048,81.083412
52,360,2048,80.907717
53,360,2048,80.732023
54,360,2048,80.556328
55,360,2048,80.380633
56,360,2048,80.204939
57,375,2048,80.029244
58,375,2048,79.853549
59,384,2048,79.677854
60,384,2048,79.502159
61,400,2048,79.326465
62,400,2048,79.150770
63,400,2048,78.975075
64,432,2048,78.799380
65,432,2048,78.623685
66,432,2048,78.447990
67,432,2048,78.272295
68,450,2048,78.096600
69,450,2048,77.920905
70,450,2048,77.745210
71,480,2048,77.569515
72,480,2048,77.393820
73,480,2048,77.218125
74,480,2048,77.042430
75,480,2048,76.866735
76,486,2048,76.691040
77,500,2048,76.515345
78,500,2048,76.339650
79,512,2048,76.163955
80,512,2048,75.988260
81,540,2048,75.812565
82,540,2048,75.636869
83,540,2048,75.461174
84,540,2048,75.285479
85,540,2048,75.109784
86,576,2048,74.934089
87,576,2048,74.758394
88,576,2048,74.582699
89,576,2048,74.407003
90,576,2048,74.231308
91,576,2048,74.055613
92,600,2048,73.879918
93,600,2048,73.704223
94,600,2048,73.528527
95,640,2048,73.352832
96,640,2048,73.177137
97,640,2048,73.001442
98,640,2048,72.825747
99,640,2048,72.650051
100,640,2048,72.474356
101,640,2048,72.298661
102,648,2048,72.122966
103,675,2048,71.947270
104,675,2048,71.771575
105,675,2048,71.595880
106,675,2048,71.420185
107,675,2048,71.244489
108,720,2048,71.068794
109,720,2048,70.893099
110,720,2048,70.717404
111,720,2048,70.541708
112,720,2048,70.366013
113,720,2048,70.190318
114,720,2048,70.014623
115,729,2048,69.838927
116,729,2048,69.663232
117,750,2048,69.487537
118,750,2048,69.311841
119,750,2048,69.136146
120,768,2048,68.960451
121,768,2048,68.784755
122,768,2048,68.609060
123,800,2048,68.433365
124,800,2048,68.257670
125,800,2048,68.081974
126,800,2048,67.906279
127,800,2048,67.730584
128,800,2048,67.554888
129,810,2048,67.379193
130,864,2048,67.203498
131,864,2048,67.027802
132,864,2048,66.852107
133,864,2048,66.676412
134,864,2048,66.500716
135,864,2048,66.325021
136,864,2048,66.149326
137,864,2048,65.973630
138,864,2048,65.797935
139,864,2048,65.622240
140,900,2048,65.446544
141,900,2048,65.270849
142,900,2048,65.095154
143,900,2048,64.919458
144,900,2048,64.743763
145,900,2048,64.568068
146,960,2048,64.392372
147,960,2048,64.216677
148,960,2048,64.040982
149,960,2048,63.865286
150,960,2048,63.689591
151,960,2048,63.513896
152,960,2048,63.338200
153,960,2048,63.162505
154,960,2048,62.986809
155,960,2048,62.811114
156,960,2048,62.635419
157,972,2048,62.459723
158,972,2048,62.284028
159,1000,2048,62.108333
160,1000,2048,61.932637
161,1000,2048,61.756942
162,1000,2048,61.581247
163,1000,2048,61.405551
164,1024,2048,61.229856
165,1024,2048,61.054160
166,1024,2048,60.878465
167,1024,2048,60.702770
168,1080,2048,60.527074
169,1080,2048,60.351379
170,1080,2048,60.175684
171,1080,2048,59.999988
172,1080,2048,59.824293
173,1080,2048,59.648597
174,1080,2048,59.472902
175,1080,2048,59.297207
176,1080,2048,59.121511
177,1080,2048,58.945816
178,1125,2048,58.770121
179,1125,2048,58.594425
180,1125,2048,58.418730
181,1125,2048,58.243034
182,1125,2048,58.067339
183,1125,2048,57.891644
184,1125,2048,57.715948
185,1125,2048,57.540253
186,1125,2048,57.364557
187,1152,2048,57.188862
188,1152,2048,57.013167
189,1152,2048,56.837471
190,1152,2048,56.661776
191,1152,2048,56.486080
192,1200,2048,56.310385
193,1200,2048,56.134690
194,1200,2048,55.958994
195,1200,2048,55.783299
196,1200,2048,55.607604
197,1200,2048,55.431908
198,1200,2048,55.256213
199,1200,2048,55.080517
200,1200,2048,54.904822
201,1215,2048,54.729127
202,1215,2048,54.553431
203,1215,2048,54.377736
204,1280,2048,54.202040
205,1280,2048,54.026345
206,1280,2048,53.850650
207,1280,2048,53.674954
208,1280,2048,53.499259
209,1280,2048,53.323563
210,1280,2048,53.147868
211,1280,2048,52.972173
212,1280,2048,52.796477
213,1280,2048,52.620782
214,1280,2048,52.445086
215,1280,2048,52.269391
216,1280,2048,52.093695
217,1296,2048,51.918000
218,1296,2048,51.742305
219,1296,2048,51.566609
220,1350,2048,51.390914
221,1350,2048,51.215218
222,1350,2048,51.039523
223,1350,2048,50.863828
224,1350,2048,50.688132
225,1350,2048,50.512437
226,1350,2048,50.336741
227,1350,2048,50.161046
228,1350,2048,49.985351
229,1350,2048,49.809655
230,1350,2048,49.633960
231,1440,2048,49.458264
232,1440,2048,49.282569
233,1440,2048,49.106874
234,1440,2048,48.931178
235,1440,2048,48.755483
236,1440,2048,48.579787
237,1440,2048,48.404092
238,1440,2048,48.228396
239,1440,2048,48.052701
240,1440,2048,47.877006
241,1440,2048,47.701310
242,1440,2048,47.525615
243,1440,2048,47.349919
244,1440,2048,47.174224
245,1440,2048,46.998529
246,1440,2048,46.822833
247,1440,2048,46.647138
248,1440,2048,46.471442
249,1440,2048,46.295747
250,1458,2048,46.120051
251,1458,2048,45.944356
252,1458,2048,45.768661
253,1458,2048,45.592965
254,1500,2048,45.417270
255,1500,2048,45.241574
256,1500,2048,45.065879
257,1500,2048,44.890184
258,1500,2048,44.714488
259,1500,2048,44.538793
260,1500,2048,44.363097
261,1500,2048,44.187402
262,1500,2048,44.011706
263,1500,2048,43.836011
264,1536,2048,43.660316
265,1536,2048,43.484620
266,1536,2048,43.308925
267,1536,2048,43.133229
268,1536,2048,42.957534
269,1536,2048,42.781838
270,1536,2048,42.606143
271,1536,2048,42.430448
272,1600,2048,42.254752
273,1600,2048,42.079057
274,1600,2048,41.903361
275,1600,2048,41.727666
276,1600,2048,41.551971
277,1600,2048,41.376275
278,1600,2048,41.200580
279,1600,2048,41.024884
280,1600,2048,40.849189
281,1600,2048,40.673493
282,1600,2048,40.497798
283,1600,2048,40.322103
284,1600,2048,40.146407
285,1600,2048,39.970712
286,1600,2048,39.795016
287,1600,2048,39.619321
288,1620,2048,39.443625
289,1620,2048,39.267930
290,1620,2048,39.092235
291,1620,2048,38.916539
292,1728,2048,38.740844
293,1728,2048,38.565148
294,1728,2048,38.389453
295,1728,2048,38.213757
296,1728,2048,38.038062
297,1728,2048,37.862367
298,1728,2048,37.686671
299,1728,2048,37.510976
300,1728,2048,37.335280
301,1728,2048,37.159585
302,1728,2048,36.983889
303,1728,2048,36.808194
304,1728,2048,36.632499
305,1728,2048,36.456803
306,1728,2048,36.281108
307,1728,2048,36.105412
308,1728,2048,35.929717
309,1728,2048,35.754021
310,1728,2048,35.578326
311,1728,2048,35.402631
312,1728,2048,35.226935
313,1728,2048,35.051240
314,1728,2048,34.875544
315,1728,2048,34.699849
316,1728,2048,34.524153
317,1728,2048,34.348458
318,1728,2048,34.172763
319,1728,2048,33.997067
320,1728,2048,33.821372
321,1728,2048,33.645676
322,1800,2048,33.469981
323,1800,2048,33.294285
324,1800,2048,33.118590
325,1800,2048,32.942895
326,1800,2048,32.767199
327,1800,2048,32.591504
328,1800,2048,32.415808
329,1800,2048,32.240113
330,1800,2048,32.064417
331,1800,2048,31.888722
332,1800,2048,31.713027
333,1800,2048,31.537331
334,1800,2048,31.361636
335,1800,2048,31.185940
336,1800,2048,31.010245
337,1800,2048,30.834549
338,1800,2048,30.658854
339,1800,2048,30.483159
340,1800,2048,30.307463
341,1800,2048,30.131768
342,1800,2048,29.956072
343,1800,2048,29.780377
344,1875,2048,29.604681
345,1875,2048,29.428986
346,1875,2048,29.253290
347,1875,2048,29.077595
348,1875,2048,28.901900
349,1875,2048,28.726204
350,1875,2048,28.550509
351,1875,2048,28.374813
352,1875,2048,28.199118
353,1875,2048,28.023422
354,1875,2048,27.847727
355,1875,2048,27.672032
356,1875,2048,27.496336
357,1875,2048,27.320641
358,1875,2048,27.144945
359,1875,2048,26.969250
360,1875,2048,26.793554
361,1875,2048,26.617859
362,1875,2048,26.442164
363,1875,2048,26.266468
364,1875,2048,26.090773
365,1875,2048,25.915077
366,1875,2048,25.739382
367,1875,2048,25.563686
368,1875,2048,25.387991
369,1875,2048,25.212295
370,1920,2048,25.036600
371,1920,2048,24.860905
372,1920,2048,24.685209
373,1920,2048,24.509514
374,1920,2048,24.333818
375,1920,2048,24.158123
376,1920,2048,23.982427
377,1920,2048,23.806732
378,1920,2048,23.631037
379,1920,2048,23.455341
380,1920,2048,23.279646
381,1920,2048,23.103950
382,1920,2048,22.928255
383,1920,2048,22.752559
384,1920,2048,22.576864
385,1920,2048,22.401168
386,1920,2048,22.225473
387,1920,2048,22.049778
388,1944,2048,21.874082
389,1944,2048,21.698387
390,1944,2048,21.522691
391,1944,2048,21.346996
392,1944,2048,21.171300
393,1944,2048,20.995605
394,1944,2048,20.819910
395,1944,2048,20.644214
396,1944,2048,20.468519
397,1944,2048,20.292823
398,1944,2048,20.117128
399,2000,2048,19.941432
400,2000,2048,19.765737
401,2000,2048,19.590041
402,2000,2048,19.414346
403,2000,2048,19.238651
404,2000,2048,19.062955
405,2000,2048,18.887260
406,2000,2048,18.711564
407,2000,2048,18.535869
408,2000,2048,18.360173
409,2000,2048,18.184478
410,2000,2048,18.008783
411,2000,2048,17.833087
412,2000,2048,17.657392
413,2000,2048,17.481696
414,2000,2048,17.306001
415,2000,2048,17.130305
416,2000,2048,16.954610
417,2000,2048,16.778914
418,2000,2048,16.603219
419,2000,2048,16.427524
420,2000,2048,16.251828
421,2000,2048,16.076133
422,2000,2048,15.900437
423,2000,2048,15.724742
424,2000,2048,15.549046
425,2000,2048,15.373351
426,2000,2048,15.197656
427,2000,2048,15.021960
428,2000,2048,14.846265
429,2000,2048,14.670569
430,2000,2048,14.494874
431,2025,2048,14.319178
432,2025,2048,14.143483
433,2025,2048,13.967787
434,2025,2048,13.792092
435,2025,2048,13.616397
436,2025,2048,13.440701
437,2025,2048,13.265006
438,2025,2048,13.089310
439,2025,2048,12.913615
440,2025,2048,12.737919
441,2025,2048,12.562224
442,2025,2048,12.386529
443,2025,2048,12.210833
444,2025,2048,12.035138
445,2025,2048,11.859442
446,2025,2048,11.683747
447,2025,2048,11.508051
448,2025,2048,11.332356
449,2048,2048,11.156660
450,2048,2048,10.980965
451,2048,2048,10.805270
452,2048,2048,10.629574
453,2048,2048,10.453879
454,2048,2048,10.278183
455,2048,2048,10.102488
456,2048,2048,9.926792
457,2048,2048,9.751097
458,2048,2048,9.575401
459,2048,2048,9.399706
460,2048,2048,9.224011
461,2048,2048,9.048315
462,2048,2048,8.872620
463,2048,2048,8.696924
464,2048,2048,8.521229
465,2048,2048,8.345533
466,2048,2048,8.169838
467,2048,2048,7.994143
468,2048,2048,7.818447
469,2048,2048,7.642752
470,2048,2048,7.467056
471,2048,2048,7.291361
472,2048,2048,7.115665
473,2048,2048,6.939970
474,2048,2048,6.764274
475,2048,2048,6.588579
