latitude_number,reduced_points,regular_points,latitude
1,18,1280,89.784877
2,25,1280,89.506203
3,36,1280,89.225883
4,40,1280,88.945191
5,45,1280,88.664358
6,50,1280,88.383457
7,60,1280,88.102518
8,64,1280,87.821556
9,72,1280,87.540577
10,72,1280,87.259589
11,75,1280,86.978592
12,81,1280,86.697590
13,90,1280,86.416583
14,96,1280,86.135573
15,100,1280,85.854560
16,108,1280,85.573545
17,120,1280,85.292528
18,120,1280,85.011510
19,125,1280,84.730490
20,135,1280,84.449469
21,144,1280,84.168447
22,144,1280,83.887425
23,150,1280,83.606402
24,160,1280,83.325378
25,180,1280,83.044353
26,180,1280,82.763329
27,180,1280,82.482303
28,192,1280,82.201278
29,192,1280,81.920252
30,200,1280,81.639225
31,216,1280,81.358199
32,216,1280,81.077172
33,216,1280,80.796145
34,225,1280,80.515118
35,240,1280,80.234091
36,240,1280,79.953063
37,240,1280,79.672035
38,250,1280,79.391008
39,256,1280,79.109980
40,270,1280,78.828951
41,270,1280,78.547923
42,288,1280,78.266895
43,288,1280,77.985866
44,288,1280,77.704838
45,300,1280,77.423809
46,300,1280,77.142781
47,320,1280,76.861752
48,320,1280,76.580723
49,320,1280,76.299694
50,324,1280,76.018665
51,360,1280,75.737636
52,360,1280,75.456607
53,360,1280,75.175578
54,360,1280,74.894549
55,360,1280,74.613520
56,360,1280,74.332490
57,375,1280,74.051461
58,375,1280,73.770432
59,384,1280,73.489402
60,384,1280,73.208373
61,400,1280,72.927344
62,400,1280,72.646314
63,405,1280,72.365285
64,432,1280,72.084255
65,432,1280,71.803226
66,432,1280,71.522196
67,432,1280,71.241166
68,450,1280,70.960137
69,450,1280,70.679107
70,450,1280,70.398077
71,480,1280,70.117048
72,480,1280,69.836018
73,480,1280,69.554988
74,480,1280,69.273959
75,480,1280,68.992929
76,486,1280,68.711899
77,500,1280,68.430869
78,500,1280,68.149839
79,500,1280,67.868810
80,512,1280,67.587780
81,512,1280,67.306750
82,540,1280,67.025720
83,540,1280,66.744690
84,540,1280,66.463660
85,540,1280,66.182630
86,540,1280,65.901600
87,576,1280,65.620570
88,576,1280,65.339540
89,576,1280,65.058510
90,576,1280,64.777481
91,576,1280,64.496451
92,576,1280,64.215421
93,600,1280,63.934391
94,600,1280,63.653361
95,600,1280,63.372331
96,600,1280,63.091300
97,640,1280,62.810270
98,640,1280,62.529240
99,640,1280,62.248210
100,640,1280,61.967180
101,640,1280,61.686150
102,640,1280,61.405120
103,640,1280,61.124090
104,648,1280,60.843060
105,648,1280,60.562030
106,675,1280,60.281000
107,675,1280,59.999970
108,675,1280,59.718940
109,675,1280,59.437910
110,720,1280,59.156879
111,720,1280,58.875849
112,720,1280,58.594819
113,720,1280,58.313789
114,720,1280,58.032759
115,720,1280,57.751729
116,720,1280,57.470699
117,720,1280,57.189668
118,720,1280,56.908638
119,729,1280,56.627608
120,750,1280,56.346578
121,750,1280,56.065548
122,750,1280,55.784518
123,750,1280,55.503487
124,768,1280,55.222457
125,768,1280,54.941427
126,768,1280,54.660397
127,768,1280,54.379367
128,800,1280,54.098337
129,800,1280,53.817306
130,800,1280,53.536276
131,800,1280,53.255246
132,800,1280,52.974216
133,800,1280,52.693186
134,810,1280,52.412155
135,810,1280,52.131125
136,864,1280,51.850095
137,864,1280,51.569065
138,864,1280,51.288034
139,864,1280,51.007004
140,864,1280,50.725974
141,864,1280,50.444944
142,864,1280,50.163913
143,864,1280,49.882883
144,864,1280,49.601853
145,864,1280,49.320823
146,864,1280,49.039793
147,900,1280,48.758762
148,900,1280,48.477732
149,900,1280,48.196702
150,900,1280,47.915672
151,900,1280,47.634641
152,900,1280,47.353611
153,900,1280,47.072581
154,900,1280,46.791551
155,960,1280,46.510520
156,960,1280,46.229490
157,960,1280,45.948460
158,960,1280,45.667429
159,960,1280,45.386399
160,960,1280,45.105369
161,960,1280,44.824339
162,960,1280,44.543308
163,960,1280,44.262278
164,960,1280,43.981248
165,960,1280,43.700218
166,960,1280,43.419187
167,960,1280,43.138157
168,960,1280,42.857127
169,972,1280,42.576096
170,972,1280,42.295066
171,1000,1280,42.014036
172,1000,1280,41.733006
173,1000,1280,41.451975
174,1000,1280,41.170945
175,1000,1280,40.889915
176,1000,1280,40.608884
177,1000,1280,40.327854
178,1000,1280,40.046824
179,1024,1280,39.765793
180,1024,1280,39.484763
181,1024,1280,39.203733
182,1024,1280,38.922703
183,1024,1280,38.641672
184,1024,1280,38.360642
185,1080,1280,38.079612
186,1080,1280,37.798581
